#edges
file, original, SD2, 1-2, SD2->1-2, 1-2->SD2
c05, 1579.0, 1582.0, 1579.0, 1582.0, 1582.0
c06, 55.0, 55.0, 55.0, 55.0, 55.0
c07, 102.0, 106.0, 102.0, 109.0, 108.0
c08, 509.0, 511.0, 509.0, 511.0, 512.0
c09, 707.0, 709.0, 707.0, 709.0, 709.0
c10, 1093.0, 1093.0, 1093.0, 1093.0, 1093.0
c11, 32.0, 32.0, 32.0, 32.0, 32.0
c12, 46.0, 46.0, 46.0, 46.0, 46.0
c13, 258.0, 259.0, 258.0, 259.0, 259.0
c14, 323.0, 323.0, 323.0, 323.0, 323.0
c15, 556.0, 556.0, 556.0, 556.0, 556.0
c16, 11.0, 11.0, 11.0, 11.0, 11.0
c17, 18.0, 18.0, 18.0, 18.0, 18.0
c18, 115.0, 113.0, 114.0, 113.0, 113.0
c19, 146.0, 146.0, 147.0, 146.0, 146.0
c20, 267.0, 267.0, 267.0, 267.0, 267.0
d01, 106.0, 106.0, 106.0, 106.0, 106.0
d02, 220.0, 220.0, 220.0, 220.0, 220.0
d03, 1572.0, 1574.0, 1565.0, 1567.0, 1569.0
d04, 1939.0, 1942.0, 1936.0, 1939.0, 1939.0
d05, 3255.0, 3256.0, 3250.0, 3254.0, 3250.0
d06, 70.0, 68.0, 70.0, 70.0, 67.0
d07, 103.0, 105.0, 103.0, 105.0, 105.0
d08, 1084.0, 1080.0, 1084.0, 1078.0, 1076.0
d09, 1453.0, 1454.0, 1457.0, 1452.0, 1454.0
d10, 2110.0, 2110.0, 2110.0, 2110.0, 2110.0
d11, 29.0, 29.0, 30.0, 29.0, 30.0
d12, 42.0, 42.0, 42.0, 42.0, 42.0
d13, 501.0, 501.0, 501.0, 500.0, 501.0
d14, 668.0, 669.0, 668.0, 669.0, 669.0
d15, 1116.0, 1116.0, 1116.0, 1116.0, 1116.0
d16, 15.0, 13.0, 13.0, 13.0, 13.0
d17, 23.0, 23.0, 23.0, 23.0, 23.0
d18, 229.0, 230.0, 229.0, 227.0, 228.0
d19, 313.0, 313.0, 312.0, 313.0, 311.0
d20, 537.0, 537.0, 537.0, 537.0, 537.0
e01, 115.0, 111.0, 111.0, 111.0, 111.0
e02, 227.0, 227.0, 214.0, 216.0, 214.0
e03, 4057.0, 4068.0, 4041.0, 4049.0, 4053.0
e04, 5124.0, 5133.0, 5116.0, 5119.0, 5119.0
e05, 8137.0, 8145.0, 8132.0, 8139.0, 8139.0
e06, 76.0, 76.0, 76.0, 76.0, 76.0
e07, 149.0, 149.0, 149.0, 147.0, 149.0
e08, 2660.0, 2666.0, 2659.0, 2658.0, 2664.0
e09, 3629.0, 3636.0, 3619.0, 3629.0, 3625.0
e10, 5606.0, 5608.0, 5605.0, 5604.0, 5609.0
e11, 37.0, 37.0, 37.0, 34.0, 37.0
e12, 68.0, 68.0, 68.0, 68.0, 68.0
e13, 1296.0, 1293.0, 1295.0, 1289.0, 1297.0
e14, 1740.0, 1742.0, 1739.0, 1742.0, 1742.0
e15, 2793.0, 2791.0, 2790.0, 2790.0, 2791.0
e16, 16.0, 15.0, 15.0, 15.0, 15.0
e17, 26.0, 26.0, 26.0, 26.0, 26.0
